x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-390.1E-03,+1.2461E+00,+1.9828E+00,-2.1477E+00
-550.0E-03,-407.7E-03,+1.0293E+00,+982.8E-03,-1.0422E+00
-540.0E-03,-581.1E-03,-105.5E-03,+730.9E-03,-760.9E-03
-530.0E-03,-708.8E-03,-847.7E-03,+1.5180E+00,-1.6320E+00
-520.0E-03,-644.4E-03,-339.8E-03,+2.4262E+00,-2.6340E+00
-510.0E-03,-462.3E-03,+824.2E-03,+2.4164E+00,-2.6242E+00
-500.0E-03,-370.2E-03,+1.3125E+00,+1.4965E+00,-1.6105E+00
-490.0E-03,-475.6E-03,+552.7E-03,+721.1E-03,-751.2E-03
-480.0E-03,-656.1E-03,-572.3E-03,+990.6E-03,-1.0500E+00
-470.0E-03,-701.4E-03,-765.6E-03,+1.9867E+00,-2.1516E+00
-460.0E-03,-560.8E-03,+191.4E-03,+2.5609E+00,-2.7805E+00
-450.0E-03,-395.5E-03,+1.1992E+00,+2.0512E+00,-2.2219E+00
-440.0E-03,-395.5E-03,+1.0918E+00,+1.0434E+00,-1.1086E+00
-430.0E-03,-563.9E-03,-9.8E-03,+701.6E-03,-731.6E-03
-420.0E-03,-705.3E-03,-834.0E-03,+1.4262E+00,-1.5324E+00
-410.0E-03,-658.0E-03,-429.7E-03,+2.3813E+00,-2.5832E+00
-400.0E-03,-478.0E-03,+736.3E-03,+2.4672E+00,-2.6789E+00
-390.0E-03,-371.3E-03,+1.3223E+00,+1.5902E+00,-1.7141E+00
-380.0E-03,-462.7E-03,+650.4E-03,+756.3E-03,-790.2E-03
-370.0E-03,-645.2E-03,-500.0E-03,+930.1E-03,-981.6E-03
-360.0E-03,-708.4E-03,-804.7E-03,+1.9105E+00,-2.0676E+00
-350.0E-03,-579.1E-03,+87.9E-03,+2.5609E+00,-2.7785E+00
-340.0E-03,-405.3E-03,+1.1504E+00,+2.1332E+00,-2.3137E+00
-330.0E-03,-387.7E-03,+1.1543E+00,+1.1195E+00,-1.1926E+00
-320.0E-03,-545.9E-03,+95.7E-03,+684.0E-03,-710.2E-03
-310.0E-03,-696.3E-03,-802.7E-03,+1.3344E+00,-1.4309E+00
-300.0E-03,-663.9E-03,-502.0E-03,+2.3109E+00,-2.5051E+00
-290.0E-03,-486.2E-03,+646.5E-03,+2.4848E+00,-2.6984E+00
-280.0E-03,-367.4E-03,+1.3203E+00,+1.6586E+00,-1.7902E+00
